source_id,n_spectra,page,n_failed
AURORA_1914_6124,3,0098_AURORA_1914_6124.html,0
JADES_1286_180575,6,0099_JADES_1286_180575.html,0
J0226_3325_1884,1,0100_J0226_3325_1884.html,0
COSMOS_4318_126891,2,0101_COSMOS_4318_126891.html,0
JADES_1180_17341,4,0102_JADES_1180_17341.html,0
RUBIES_4233_50522,2,0103_RUBIES_4233_50522.html,0
RUBIES_4233_150323,1,0104_RUBIES_4233_150323.html,0
STARK_2478_16056,3,0105_STARK_2478_16056.html,0
RUBIES_4233_58237,3,0106_RUBIES_4233_58237.html,0
RUBIES_4233_61627,2,0107_RUBIES_4233_61627.html,0
MACS1149_2758_60003,2,0108_MACS1149_2758_60003.html,0
RUBIES_4233_150987,2,0109_RUBIES_4233_150987.html,0
RUBIES_4233_15825,2,0110_RUBIES_4233_15825.html,0
JADES_1181_2916,4,0111_JADES_1181_2916.html,0
GDN_4762_36344,2,0112_GDN_4762_36344.html,0
MACS1149_1199_20024,2,0113_MACS1149_1199_20024.html,0
JADES_1180_209777,4,0114_JADES_1180_209777.html,0
VALENTINO_3567_20910,1,0115_VALENTINO_3567_20910.html,0
GLIMPSE_9223_34789,2,0116_GLIMPSE_9223_34789.html,0
GLIMPSE_9223_43084,1,0117_GLIMPSE_9223_43084.html,0
VALENTINO_3567_217057,1,0118_VALENTINO_3567_217057.html,0
EXCELS_3543_67887,1,0119_EXCELS_3543_67887.html,0
VALENTINO_3567_1546,1,0120_VALENTINO_3567_1546.html,0
EXCELS_3543_34495,3,0121_EXCELS_3543_34495.html,0
RUBIES_4233_10036,2,0122_RUBIES_4233_10036.html,0
EXCELS_3543_51825,2,0123_EXCELS_3543_51825.html,0
JADES_1286_179198,7,0124_JADES_1286_179198.html,0
RUBIES_4233_37032,2,0125_RUBIES_4233_37032.html,0
RUBIES_4233_45502,2,0126_RUBIES_4233_45502.html,0
RUBIES_4233_41926,1,0127_RUBIES_4233_41926.html,0
EXCELS_3543_112990,3,0128_EXCELS_3543_112990.html,0
RUBIES_4233_25712,2,0129_RUBIES_4233_25712.html,0
JADES_1180_13329,4,0130_JADES_1180_13329.html,0
GTO_1215_3757,3,0131_GTO_1215_3757.html,0
RUBIES_4233_16053,2,0132_RUBIES_4233_16053.html,0
RUBIES_4233_147412,3,0133_RUBIES_4233_147412.html,0
JADES_1181_2331,4,0134_JADES_1181_2331.html,0
RUBIES_4233_160366,2,0135_RUBIES_4233_160366.html,0
EXCELS_3543_113667,3,0136_EXCELS_3543_113667.html,0
VALENTINO_3567_793,1,0137_VALENTINO_3567_793.html,0
RUBIES_4233_8895,2,0138_RUBIES_4233_8895.html,0
VALENTINO_3567_1369,1,0139_VALENTINO_3567_1369.html,0
VALENTINO_3567_18,1,0140_VALENTINO_3567_18.html,0
RUBIES_4233_30969,1,0141_RUBIES_4233_30969.html,0
VALENTINO_3567_262,1,0142_VALENTINO_3567_262.html,0
GLASS_1324_160133,4,0143_GLASS_1324_160133.html,0
JADES_1180_10013268,4,0144_JADES_1180_10013268.html,0
