distance_group_key,root,file,srcid,grade,z_use,z_best,z_phot,ztype,snr_ha_nii_cat,snr_oiii_hybrid_cat,oiii_cat_method
CEERS__source_id_fof_07816,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_24210.spec.fits,24210,3.0,1.8201474,1.8201474,1.8524241,P,52.56521924354301,49.03442985095154,combined_line_oiii
CEERS__source_id_fof_07822,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_26827.spec.fits,26827,3.0,1.8484902,1.8484902,1.7103474,P,9.648030304963587,9.63051125933027,combined_line_oiii
CEERS__source_id_fof_08383,ceers-v4,ceers-v4_prism-clear_1345_30355.spec.fits,57,3.0,1.910242280136223,1.910242280136223,,P,15.892768748232918,25.63346045538713,combined_line_oiii
CEERS__source_id_fof_08308,ceers-v4,ceers-v4_prism-clear_1345_25742.spec.fits,25742,3.0,1.9176817,1.9176817,1.831432,P,11.483444475120063,8.861880360695089,combined_line_oiii
CEERS__source_id_fof_08206,ceers-v4,ceers-v4_prism-clear_1345_18831.spec.fits,18831,3.0,1.9194323,1.9194323,2.114238,P,32.827860568049715,43.76708291617235,combined_line_oiii
CEERS__source_id_fof_08247,ceers-v4,ceers-v4_prism-clear_1345_21875.spec.fits,21875,3.0,1.922354,1.922354,-1.0,P,10.536256800349891,17.9247782945299,combined_line_oiii
CEERS__source_id_fof_08228,ceers-v4,ceers-v4_prism-clear_1345_20821.spec.fits,20821,3.0,1.9461207,1.9461207,2.3015203,P,36.668959774782195,57.43996167324225,combined_line_oiii
CEERS__source_id_fof_07850,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_4179.spec.fits,4179,3.0,2.0065386,2.0065386,2.2423062,P,30.479673312683232,28.544815608903505,combined_line_oiii
CEERS__source_id_fof_08229,ceers-v4,ceers-v4_prism-clear_1345_20823.spec.fits,20823,3.0,2.0110514,2.0110514,2.1359527,P,11.145092496885505,11.907809902143331,combined_line_oiii
CEERS__source_id_fof_07818,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_25755.spec.fits,25755,3.0,2.0122554,2.0122554,1.9774443,P,27.399860138694528,23.326540199377277,combined_line_oiii
CEERS__source_id_fof_07833,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_29955.spec.fits,29955,3.0,2.0125573,2.0125573,2.146274,P,20.076888953006314,27.226791315768605,combined_line_oiii
CEERS__source_id_fof_08332,ceers-v4,ceers-v4_prism-clear_1345_27164.spec.fits,27164,3.0,2.015571,2.015571,1.9774617,P,15.195281291023683,8.38622476237265,combined_line_oiii
CEERS__source_id_fof_07819,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_25998.spec.fits,25998,3.0,2.016476,2.016476,2.0321186,P,24.078917515047056,36.45663846007422,combined_line_oiii
CEERS__source_id_fof_08408,ceers-v4,ceers-v4_prism-clear_1345_31789.spec.fits,31789,3.0,2.0182867,2.0182867,2.0388422,P,14.098019794121004,18.769239957332964,combined_line_oiii
CEERS__source_id_fof_08840,ceers-v4,ceers-v4_prism-clear_1345_9950.spec.fits,9950,3.0,2.0315964,2.0315964,2.0287976,P,15.982035379161974,13.595046312950595,combined_line_oiii
CEERS__source_id_fof_08814,ceers-v4,ceers-v4_prism-clear_1345_8698.spec.fits,8698,3.0,2.114876,2.114876,2.2417552,P,21.463942929922197,26.284582477135487,combined_line_oiii
CEERS__source_id_fof_08249,ceers-v4,ceers-v4_prism-clear_1345_21913.spec.fits,21913,3.0,2.1333075,2.1333075,0.058290824,P,32.31831529117953,31.100411861020348,combined_line_oiii
CEERS__source_id_fof_07809,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_21413.spec.fits,21413,3.0,2.1402092,2.1402092,2.1224158,P,28.02418469462232,30.30031754299712,combined_line_oiii
CEERS__source_id_fof_08224,ceers-v4,ceers-v4_prism-clear_1345_20406.spec.fits,20406,3.0,2.1427224,2.1427224,2.3052428,P,30.71121345251606,31.538947824410492,combined_line_oiii
CEERS__source_id_fof_07774,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_1142.spec.fits,1142,3.0,2.1433506,2.1433506,0.54138243,P,15.70802487181844,21.179505386764173,combined_line_oiii
CEERS__source_id_fof_08602,ceers-v4,ceers-v4_prism-clear_1345_5337.spec.fits,5337,3.0,2.1505883,2.1505883,2.093489,P,19.89575385259626,24.009969837027885,combined_line_oiii
CEERS__source_id_fof_08003,ceers-v4,ceers-v4_prism-clear_1345_10264.spec.fits,10264,3.0,2.1685982,2.1685982,2.0901098,P,27.27438978760185,23.252793780453374,combined_line_oiii
CEERS__source_id_fof_08197,ceers-v4,ceers-v4_prism-clear_1345_18413.spec.fits,18413,3.0,2.1953268,2.1953268,2.2429693,P,21.039804787236925,32.696461553992094,combined_line_oiii
CEERS__source_id_fof_07821,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_26492.spec.fits,26492,3.0,2.2074926,2.2074926,2.1595395,P,20.835251705119067,17.53600519925288,combined_line_oiii
CEERS__source_id_fof_06068,ceers-v4,ceers-v4_prism-clear_1345_18322.spec.fits,18322,3.0,2.21888735,2.21888735,2.308725,P,21.21943335752656,22.697796282587124,combined_line_oiii
CEERS__source_id_fof_08348,ceers-v4,ceers-v4_prism-clear_1345_28204.spec.fits,28204,3.0,2.2965922,2.2965922,2.1567852,P,19.252581824764004,20.88360411296778,combined_line_oiii
CEERS__source_id_fof_07800,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_18745.spec.fits,18745,3.0,2.2972517,2.2972517,2.2836292,P,36.62568363708922,44.93021704481583,combined_line_oiii
CEERS__source_id_fof_08363,ceers-v4,ceers-v4_prism-clear_1345_2922.spec.fits,2922,3.0,2.3030498,2.3030498,1.6700985,P,49.57943933582648,16.087023120857,combined_line_oiii
CEERS__source_id_fof_07781,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_13265.spec.fits,13265,3.0,2.308482,2.308482,2.3531046,P,9.468642103960514,8.364776214751464,combined_line_oiii
CEERS__source_id_fof_08484,ceers-v4,ceers-v4_prism-clear_1345_3877.spec.fits,3877,3.0,2.3157678,2.3157678,,P,31.216799196137735,39.346420637235276,combined_line_oiii
CEERS__source_id_fof_07789,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_16248.spec.fits,16248,3.0,2.3177588,2.3177588,2.2755551,P,36.72787360190652,27.058227864935752,combined_line_oiii
CEERS__source_id_fof_08227,ceers-v4,ceers-v4_prism-clear_1345_20623.spec.fits,20623,3.0,2.3333886,2.3333886,2.3049066,P,27.44158876304471,34.61218601021455,combined_line_oiii
CEERS__source_id_fof_07807,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_20850.spec.fits,20850,3.0,2.337057,2.337057,2.3250022,P,30.764924514383875,24.92005887335412,combined_line_oiii
CEERS__source_id_fof_08545,ceers-v4,ceers-v4_prism-clear_1345_4334.spec.fits,4334,3.0,2.3403962,2.3403962,2.3152819,P,27.224826043536815,23.707472898283825,combined_line_oiii
CEERS__source_id_fof_08207,ceers-v4,ceers-v4_prism-clear_1345_18908.spec.fits,18908,3.0,2.3417323,2.3417323,2.3542879,P,18.372902975619215,12.828630767710324,combined_line_oiii
CEERS__source_id_fof_08205,ceers-v4,ceers-v4_prism-clear_1345_18538.spec.fits,18538,3.0,2.3457446,2.3457446,2.3418481,P,37.98565213958547,52.01820289024099,combined_line_oiii
CEERS__source_id_fof_07840,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_32325.spec.fits,32325,3.0,2.3534489,2.3534489,2.4368718,P,20.770789936183213,25.33916906935275,combined_line_oiii
CEERS__source_id_fof_08742,ceers-v4,ceers-v4_prism-clear_1345_8109.spec.fits,8109,3.0,2.3574753,2.3574753,2.366665,P,35.950379182864026,40.715648962986556,combined_line_oiii
CEERS__source_id_fof_08322,ceers-v4,ceers-v4_prism-clear_1345_26739.spec.fits,26739,3.0,2.3726184,2.3726184,0.054882526,P,38.78088893596606,39.54093411568202,combined_line_oiii
CEERS__source_id_fof_08282,ceers-v4,ceers-v4_prism-clear_1345_23897.spec.fits,23897,3.0,2.3800464,2.3800464,2.3557742,P,21.22078017996115,26.01056867421307,combined_line_oiii
CEERS__source_id_fof_08246,ceers-v4,ceers-v4_prism-clear_1345_21851.spec.fits,21851,3.0,2.3885062,2.3885062,2.6073613,P,11.533851872153484,14.99936961530594,combined_line_oiii
CEERS__source_id_fof_07813,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_23063.spec.fits,23063,3.0,2.392915,2.392915,2.4363897,P,32.491144090233675,39.56025460952278,combined_line_oiii
CEERS__source_id_fof_08006,ceers-v4,ceers-v4_prism-clear_1345_10318.spec.fits,10318,3.0,2.4218771,2.4218771,2.4268644,P,43.31613596988178,53.83259057258498,combined_line_oiii
CEERS__source_id_fof_08274,ceers-v4,ceers-v4_prism-clear_1345_23275.spec.fits,23275,3.0,2.4279516,2.4279516,,P,20.792088792151002,28.060856463264045,combined_line_oiii
CEERS__source_id_fof_08232,ceers-v4,ceers-v4_prism-clear_1345_21234.spec.fits,21234,3.0,2.4669986,2.4669986,1.9813521,P,12.860836690315088,22.37136596342459,combined_line_oiii
CEERS__source_id_fof_08491,ceers-v4,ceers-v4_prism-clear_1345_3962.spec.fits,3962,3.0,2.5215085,2.5215085,2.5387955,P,28.087873574105394,20.718408148062384,combined_line_oiii
CEERS__source_id_fof_07830,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_29325.spec.fits,29325,3.0,2.5497932,2.5497932,2.6147814,P,26.585412822349635,27.347950163384493,combined_line_oiii
CEERS__source_id_fof_08271,ceers-v4,ceers-v4_prism-clear_1345_23018.spec.fits,23018,3.0,2.6193314,2.6193314,2.7002313,P,11.42380656691391,10.440903698962943,combined_line_oiii
CEERS__source_id_fof_08438,ceers-v4,ceers-v4_prism-clear_1345_3527.spec.fits,3527,3.0,2.6542444,2.6542444,2.6163409,P,56.756437957529755,48.26896337421414,combined_line_oiii
CEERS__source_id_fof_08072,ceers-v4,ceers-v4_prism-clear_1345_12771.spec.fits,12771,3.0,2.6622922,2.6622922,0.27598953,P,18.853232776189515,14.969373834596748,combined_line_oiii
CEERS__source_id_fof_08152,ceers-v4,ceers-v4_prism-clear_1345_16384.spec.fits,16384,3.0,2.7028003,2.7028003,2.7227542,P,16.919638102505267,18.444754095168836,combined_line_oiii
CEERS__source_id_fof_08056,ceers-v4,ceers-v4_prism-clear_1345_1211.spec.fits,1211,3.0,2.70572,2.70572,4.1282253,P,8.636855259277253,8.740029176321217,combined_line_oiii
CEERS__source_id_fof_08147,ceers-v4,ceers-v4_prism-clear_1345_16207.spec.fits,16207,3.0,2.707246,2.707246,2.7231543,P,20.15840939516069,26.132368619710803,combined_line_oiii
CEERS__source_id_fof_08489,ceers-v4,ceers-v4_prism-clear_1345_3939.spec.fits,3939,3.0,2.7120686,2.7120686,2.7488422,P,34.729452355001484,14.66984250030276,combined_line_oiii
CEERS__source_id_fof_08682,ceers-v4,ceers-v4_prism-clear_1345_7975.spec.fits,7975,3.0,2.7409284666666665,2.7409284666666665,2.9601104,G,35.361300084451535,26.574050240893698,combined_line_oiii
CEERS__source_id_fof_07771,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_11221.spec.fits,11221,3.0,2.7422588,2.7422588,-1.0,P,28.474040376191592,33.92752137989216,combined_line_oiii
CEERS__source_id_fof_08199,ceers-v4,ceers-v4_prism-clear_1345_18466.spec.fits,18466,3.0,2.7640266,2.7640266,2.7230327,P,20.796027209410266,22.544933683139888,combined_line_oiii
