distance_group,srcid,grade,z_use,href
CEERS__source_id_fof_08298,24977,3.0,1.3684,sources/source_0061_CEERS__source_id_fof_08298.html
CEERS__source_id_fof_08305,25543,3.0,1.3843,sources/source_0062_CEERS__source_id_fof_08305.html
CEERS__source_id_fof_04393,176,3.0,1.3863,sources/source_0063_CEERS__source_id_fof_04393.html
CEERS__source_id_fof_08430,34459,3.0,1.3907,sources/source_0064_CEERS__source_id_fof_08430.html
CEERS__source_id_fof_07839,31852,3.0,1.3957,sources/source_0065_CEERS__source_id_fof_07839.html
CEERS__source_id_fof_08482,3855,3.0,1.3970,sources/source_0066_CEERS__source_id_fof_08482.html
CEERS__source_id_fof_08634,6488,3.0,1.4000,sources/source_0067_CEERS__source_id_fof_08634.html
CEERS__source_id_fof_08639,6639,3.0,1.4008,sources/source_0068_CEERS__source_id_fof_08639.html
CEERS__source_id_fof_08336,27555,3.0,1.4022,sources/source_0069_CEERS__source_id_fof_08336.html
CEERS__source_id_fof_08738,8104,3.0,1.4044,sources/source_0070_CEERS__source_id_fof_08738.html
CEERS__source_id_fof_08392,30771,3.0,1.4520,sources/source_0071_CEERS__source_id_fof_08392.html
CEERS__source_id_fof_07825,27920,3.0,1.5158,sources/source_0072_CEERS__source_id_fof_07825.html
CEERS__source_id_fof_08357,111,3.0,1.5310,sources/source_0073_CEERS__source_id_fof_08357.html
CEERS__source_id_fof_07854,4583,3.0,1.5335,sources/source_0074_CEERS__source_id_fof_07854.html
CEERS__source_id_fof_08416,32169,3.0,1.5350,sources/source_0075_CEERS__source_id_fof_08416.html
CEERS__source_id_fof_07855,5336,3.0,1.5429,sources/source_0076_CEERS__source_id_fof_07855.html
CEERS__source_id_fof_08821,9117,3.0,1.5439,sources/source_0077_CEERS__source_id_fof_08821.html
CEERS__source_id_fof_06027,3141,3.0,1.5523,sources/source_0078_CEERS__source_id_fof_06027.html
CEERS__source_id_fof_08478,3818,3.0,1.5692,sources/source_0079_CEERS__source_id_fof_08478.html
CEERS__source_id_fof_07826,28105,3.0,1.5733,sources/source_0080_CEERS__source_id_fof_07826.html
CEERS__source_id_fof_08832,9433,3.0,1.5777,sources/source_0081_CEERS__source_id_fof_08832.html
CEERS__source_id_fof_07791,17161,3.0,1.5818,sources/source_0082_CEERS__source_id_fof_07791.html
CEERS__source_id_fof_08294,24702,3.0,1.5849,sources/source_0083_CEERS__source_id_fof_08294.html
CEERS__source_id_fof_08837,9751,3.0,1.5981,sources/source_0084_CEERS__source_id_fof_08837.html
CEERS__source_id_fof_08455,35954,3.0,1.5997,sources/source_0085_CEERS__source_id_fof_08455.html
CEERS__source_id_fof_08433,34698,3.0,1.6567,sources/source_0086_CEERS__source_id_fof_08433.html
CEERS__source_id_fof_08283,23963,3.0,1.6853,sources/source_0087_CEERS__source_id_fof_08283.html
CEERS__source_id_fof_08604,5351,3.0,1.6899,sources/source_0088_CEERS__source_id_fof_08604.html
CEERS__source_id_fof_08317,26472,3.0,1.6939,sources/source_0089_CEERS__source_id_fof_08317.html
CEERS__source_id_fof_08312,26071,3.0,1.6966,sources/source_0090_CEERS__source_id_fof_08312.html
CEERS__source_id_fof_08607,5409,3.0,1.6982,sources/source_0091_CEERS__source_id_fof_08607.html
CEERS__source_id_fof_08362,2919,3.0,1.7180,sources/source_0092_CEERS__source_id_fof_08362.html
CEERS__source_id_fof_08762,8286,3.0,1.7183,sources/source_0093_CEERS__source_id_fof_08762.html
CEERS__source_id_fof_08372,29884,3.0,1.7297,sources/source_0094_CEERS__source_id_fof_08372.html
CEERS__source_id_fof_08303,25510,3.0,1.7436,sources/source_0095_CEERS__source_id_fof_08303.html
CEERS__source_id_fof_08573,4745,3.0,1.7618,sources/source_0096_CEERS__source_id_fof_08573.html
CEERS__source_id_fof_08296,277,3.0,1.7665,sources/source_0097_CEERS__source_id_fof_08296.html
CEERS__source_id_fof_08698,80077,3.0,1.7912,sources/source_0098_CEERS__source_id_fof_08698.html
