distance_group,srcid,grade,z_use,href
CEERS__source_id_fof_08053,12024,3.0,3.4818,sources/source_0267_CEERS__source_id_fof_08053.html
CEERS__source_id_fof_08076,13282,3.0,3.4825,sources/source_0268_CEERS__source_id_fof_08076.html
CEERS__source_id_fof_08785,84589,3.0,3.4879,sources/source_0269_CEERS__source_id_fof_08785.html
CEERS__source_id_fof_08798,85534,3.0,3.4879,sources/source_0270_CEERS__source_id_fof_08798.html
CEERS__source_id_fof_07769,10863,3.0,3.6011,sources/source_0271_CEERS__source_id_fof_07769.html
CEERS__source_id_fof_08804,85713,3.0,3.6264,sources/source_0272_CEERS__source_id_fof_08804.html
CEERS__source_id_fof_08059,12213,3.0,3.6272,sources/source_0273_CEERS__source_id_fof_08059.html
CEERS__source_id_fof_08329,2695,3.0,3.6362,sources/source_0274_CEERS__source_id_fof_08329.html
CEERS__source_id_fof_08784,84555,3.0,3.6496,sources/source_0275_CEERS__source_id_fof_08784.html
CEERS__source_id_fof_08263,22696,3.0,3.6612,sources/source_0276_CEERS__source_id_fof_08263.html
CEERS__source_id_fof_08328,2693,3.0,3.6688,sources/source_0277_CEERS__source_id_fof_08328.html
CEERS__source_id_fof_07903,9973,3.0,3.6720,sources/source_0278_CEERS__source_id_fof_07903.html
CEERS__source_id_fof_08025,11150,3.0,3.6809,sources/source_0279_CEERS__source_id_fof_08025.html
CEERS__source_id_fof_08035,11495,3.0,3.7194,sources/source_0280_CEERS__source_id_fof_08035.html
CEERS__source_id_fof_07787,1598,3.0,3.7627,sources/source_0281_CEERS__source_id_fof_07787.html
CEERS__source_id_fof_08039,11624,3.0,3.7783,sources/source_0282_CEERS__source_id_fof_08039.html
CEERS__source_id_fof_07764,10291,3.0,3.8041,sources/source_0283_CEERS__source_id_fof_07764.html
CEERS__source_id_fof_07767,10618,3.0,3.8360,sources/source_0284_CEERS__source_id_fof_07767.html
CEERS__source_id_fof_07902,9932,3.0,3.8452,sources/source_0285_CEERS__source_id_fof_07902.html
CEERS__source_id_fof_05968,128,3.0,3.8606,sources/source_0286_CEERS__source_id_fof_05968.html
CEERS__source_id_fof_08450,3585,3.0,3.8670,sources/source_0287_CEERS__source_id_fof_08450.html
CEERS__source_id_fof_08136,15385,3.0,3.8765,sources/source_0288_CEERS__source_id_fof_08136.html
CEERS__source_id_fof_08750,82116,3.0,3.9175,sources/source_0289_CEERS__source_id_fof_08750.html
CEERS__source_id_fof_08452,3587,3.0,3.9288,sources/source_0290_CEERS__source_id_fof_08452.html
CEERS__source_id_fof_08748,82077,3.0,4.1929,sources/source_0291_CEERS__source_id_fof_08748.html
CEERS__source_id_fof_08772,269,3.0,4.1933,sources/source_0292_CEERS__source_id_fof_08772.html
CEERS__source_id_fof_08079,13692,3.0,4.2163,sources/source_0293_CEERS__source_id_fof_08079.html
CEERS__source_id_fof_06375,80457,3.0,4.2246,sources/source_0294_CEERS__source_id_fof_06375.html
CEERS__source_id_fof_08830,933,3.0,4.2252,sources/source_0295_CEERS__source_id_fof_08830.html
CEERS__source_id_fof_07896,9467,3.0,4.2252,sources/source_0296_CEERS__source_id_fof_07896.html
CEERS__source_id_fof_08770,83502,3.0,4.2508,sources/source_0297_CEERS__source_id_fof_08770.html
CEERS__source_id_fof_07786,1586,3.0,4.2946,sources/source_0298_CEERS__source_id_fof_07786.html
CEERS__source_id_fof_08779,83779,3.0,4.2946,sources/source_0299_CEERS__source_id_fof_08779.html
CEERS__source_id_fof_08744,82043,3.0,4.3095,sources/source_0300_CEERS__source_id_fof_08744.html
CEERS__source_id_fof_08065,12405,3.0,4.3553,sources/source_0301_CEERS__source_id_fof_08065.html
CEERS__source_id_fof_04715,9020,3.0,4.3978,sources/source_0302_CEERS__source_id_fof_04715.html
CEERS__source_id_fof_07874,8038,3.0,4.4034,sources/source_0303_CEERS__source_id_fof_07874.html
CEERS__source_id_fof_07841,3234,3.0,4.4684,sources/source_0304_CEERS__source_id_fof_07841.html
CEERS__source_id_fof_07883,9026,3.0,4.4783,sources/source_0305_CEERS__source_id_fof_07883.html
CEERS__source_id_fof_08020,10995,3.0,4.4799,sources/source_0306_CEERS__source_id_fof_08020.html
CEERS__source_id_fof_04691,9600,3.0,4.4826,sources/source_0307_CEERS__source_id_fof_04691.html
CEERS__source_id_fof_08063,1236,3.0,4.4828,sources/source_0308_CEERS__source_id_fof_08063.html
CEERS__source_id_fof_08752,82145,3.0,4.4865,sources/source_0309_CEERS__source_id_fof_08752.html
CEERS__source_id_fof_08094,1400,3.0,4.4892,sources/source_0310_CEERS__source_id_fof_08094.html
CEERS__source_id_fof_08781,83860,3.0,4.5035,sources/source_0311_CEERS__source_id_fof_08781.html
CEERS__source_id_fof_08767,83398,3.0,4.5477,sources/source_0312_CEERS__source_id_fof_08767.html
CEERS__source_id_fof_08753,82167,3.0,4.5555,sources/source_0313_CEERS__source_id_fof_08753.html
CEERS__source_id_fof_08780,83856,3.0,4.5561,sources/source_0314_CEERS__source_id_fof_08780.html
CEERS__source_id_fof_08135,1534,3.0,4.5847,sources/source_0315_CEERS__source_id_fof_08135.html
CEERS__source_id_fof_07882,9016,3.0,4.5967,sources/source_0316_CEERS__source_id_fof_07882.html
CEERS__source_id_fof_08215,1953,3.0,4.6014,sources/source_0317_CEERS__source_id_fof_08215.html
CEERS__source_id_fof_08547,43461,3.0,4.6216,sources/source_0318_CEERS__source_id_fof_08547.html
CEERS__source_id_fof_08449,3584,3.0,4.6361,sources/source_0319_CEERS__source_id_fof_08449.html
CEERS__source_id_fof_08223,2036,3.0,4.6417,sources/source_0320_CEERS__source_id_fof_08223.html
CEERS__source_id_fof_08759,136,3.0,4.7060,sources/source_0321_CEERS__source_id_fof_08759.html
CEERS__source_id_fof_08757,82300,3.0,4.7127,sources/source_0322_CEERS__source_id_fof_08757.html
CEERS__source_id_fof_06111,80932,3.0,4.7235,sources/source_0323_CEERS__source_id_fof_06111.html
CEERS__source_id_fof_08112,1449,3.0,4.7509,sources/source_0324_CEERS__source_id_fof_08112.html
CEERS__source_id_fof_07878,8366,3.0,4.7845,sources/source_0325_CEERS__source_id_fof_07878.html
CEERS__source_id_fof_08221,2000,3.0,4.7990,sources/source_0326_CEERS__source_id_fof_08221.html
CEERS__source_id_fof_08217,1981,3.0,4.8124,sources/source_0327_CEERS__source_id_fof_08217.html
CEERS__source_id_fof_08769,83439,3.0,4.8269,sources/source_0328_CEERS__source_id_fof_08769.html
CEERS__source_id_fof_07838,3149,3.0,4.8896,sources/source_0329_CEERS__source_id_fof_07838.html
CEERS__source_id_fof_07806,2015,3.0,4.8926,sources/source_0330_CEERS__source_id_fof_07806.html
CEERS__source_id_fof_08774,83574,3.0,4.8979,sources/source_0331_CEERS__source_id_fof_08774.html
CEERS__source_id_fof_07824,2763,3.0,4.8990,sources/source_0332_CEERS__source_id_fof_07824.html
CEERS__source_id_fof_07834,2,3.0,4.9033,sources/source_0333_CEERS__source_id_fof_07834.html
CEERS__source_id_fof_08810,85836,3.0,4.9846,sources/source_0334_CEERS__source_id_fof_08810.html
CEERS__source_id_fof_08760,82507,3.0,4.9866,sources/source_0335_CEERS__source_id_fof_08760.html
CEERS__source_id_fof_08045,1173,3.0,4.9948,sources/source_0336_CEERS__source_id_fof_08045.html
CEERS__source_id_fof_08776,83666,3.0,4.9966,sources/source_0337_CEERS__source_id_fof_08776.html
CEERS__source_id_fof_08080,1374,3.0,5.0008,sources/source_0338_CEERS__source_id_fof_08080.html
CEERS__source_id_fof_08113,14525,3.0,5.0653,sources/source_0339_CEERS__source_id_fof_08113.html
CEERS__source_id_fof_08030,11383,3.0,5.0657,sources/source_0340_CEERS__source_id_fof_08030.html
CEERS__source_id_fof_07880,8507,3.0,5.0884,sources/source_0341_CEERS__source_id_fof_07880.html
CEERS__source_id_fof_07794,1768,3.0,5.0884,sources/source_0342_CEERS__source_id_fof_07794.html
CEERS__source_id_fof_08210,1912,3.0,5.0884,sources/source_0343_CEERS__source_id_fof_08210.html
CEERS__source_id_fof_07867,7467,3.0,5.0945,sources/source_0344_CEERS__source_id_fof_07867.html
CEERS__source_id_fof_08797,85517,3.0,5.1122,sources/source_0345_CEERS__source_id_fof_08797.html
CEERS__source_id_fof_08754,82171,3.0,5.1472,sources/source_0346_CEERS__source_id_fof_08754.html
CEERS__source_id_fof_08745,82052,3.0,5.1490,sources/source_0347_CEERS__source_id_fof_08745.html
CEERS__source_id_fof_08474,37697,3.0,5.1521,sources/source_0348_CEERS__source_id_fof_08474.html
CEERS__source_id_fof_08156,1672,3.0,5.2033,sources/source_0349_CEERS__source_id_fof_08156.html
CEERS__source_id_fof_08758,82329,3.0,5.2170,sources/source_0350_CEERS__source_id_fof_08758.html
CEERS__source_id_fof_05224,2782,3.0,5.2394,sources/source_0351_CEERS__source_id_fof_05224.html
CEERS__source_id_fof_08747,82069,3.0,5.2468,sources/source_0352_CEERS__source_id_fof_08747.html
CEERS__source_id_fof_08405,314,3.0,5.2681,sources/source_0353_CEERS__source_id_fof_08405.html
CEERS__source_id_fof_08116,1465,3.0,5.2683,sources/source_0354_CEERS__source_id_fof_08116.html
CEERS__source_id_fof_07868,7668,3.0,5.2738,sources/source_0355_CEERS__source_id_fof_07868.html
CEERS__source_id_fof_08082,1378,3.0,5.2750,sources/source_0356_CEERS__source_id_fof_08082.html
CEERS__source_id_fof_08695,80072,3.0,5.2757,sources/source_0357_CEERS__source_id_fof_08695.html
CEERS__source_id_fof_08734,81022,3.0,5.2839,sources/source_0358_CEERS__source_id_fof_08734.html
CEERS__source_id_fof_08231,2116,3.0,5.2851,sources/source_0359_CEERS__source_id_fof_08231.html
CEERS__source_id_fof_08778,83772,3.0,5.2894,sources/source_0360_CEERS__source_id_fof_08778.html
CEERS__source_id_fof_05563,2362,3.0,5.3149,sources/source_0361_CEERS__source_id_fof_05563.html
CEERS__source_id_fof_07879,840,3.0,5.3269,sources/source_0362_CEERS__source_id_fof_07879.html
CEERS__source_id_fof_08751,82135,3.0,5.3382,sources/source_0363_CEERS__source_id_fof_08751.html
CEERS__source_id_fof_04774,177,3.0,5.3490,sources/source_0364_CEERS__source_id_fof_04774.html
CEERS__source_id_fof_08736,81032,3.0,5.4166,sources/source_0365_CEERS__source_id_fof_08736.html
CEERS__source_id_fof_08735,81026,3.0,5.4198,sources/source_0366_CEERS__source_id_fof_08735.html
CEERS__source_id_fof_08777,83764,3.0,5.4269,sources/source_0367_CEERS__source_id_fof_08777.html
CEERS__source_id_fof_08719,80573,3.0,5.4333,sources/source_0368_CEERS__source_id_fof_08719.html
CEERS__source_id_fof_08721,80576,3.0,5.4372,sources/source_0369_CEERS__source_id_fof_08721.html
CEERS__source_id_fof_08179,1756,3.0,5.4430,sources/source_0370_CEERS__source_id_fof_08179.html
CEERS__source_id_fof_08488,391,3.0,5.5045,sources/source_0371_CEERS__source_id_fof_08488.html
CEERS__source_id_fof_08479,381,3.0,5.5086,sources/source_0372_CEERS__source_id_fof_08479.html
CEERS__source_id_fof_08669,746,3.0,5.6225,sources/source_0373_CEERS__source_id_fof_08669.html
CEERS__source_id_fof_08447,356,3.0,5.6244,sources/source_0374_CEERS__source_id_fof_08447.html
CEERS__source_id_fof_05550,513,3.0,5.6423,sources/source_0375_CEERS__source_id_fof_05550.html
CEERS__source_id_fof_08610,545,3.0,5.6605,sources/source_0376_CEERS__source_id_fof_08610.html
CEERS__source_id_fof_08637,653,3.0,5.6631,sources/source_0377_CEERS__source_id_fof_08637.html
CEERS__source_id_fof_08418,323,3.0,5.6656,sources/source_0378_CEERS__source_id_fof_08418.html
CEERS__source_id_fof_08727,80916,3.0,5.6751,sources/source_0379_CEERS__source_id_fof_08727.html
CEERS__source_id_fof_07885,923,3.0,5.7019,sources/source_0380_CEERS__source_id_fof_07885.html
CEERS__source_id_fof_08724,80671,3.0,5.7319,sources/source_0381_CEERS__source_id_fof_08724.html
CEERS__source_id_fof_08775,83592,3.0,5.7375,sources/source_0382_CEERS__source_id_fof_08775.html
CEERS__source_id_fof_08501,403,3.0,5.7572,sources/source_0383_CEERS__source_id_fof_08501.html
CEERS__source_id_fof_07871,783,3.0,5.7657,sources/source_0384_CEERS__source_id_fof_07871.html
CEERS__source_id_fof_07814,2315,3.0,5.7672,sources/source_0385_CEERS__source_id_fof_07814.html
CEERS__source_id_fof_05728,81018,3.0,5.8581,sources/source_0386_CEERS__source_id_fof_05728.html
CEERS__source_id_fof_08494,397,3.0,6.0003,sources/source_0387_CEERS__source_id_fof_08494.html
CEERS__source_id_fof_08578,476,3.0,6.0104,sources/source_0388_CEERS__source_id_fof_08578.html
CEERS__source_id_fof_08457,362,3.0,6.0455,sources/source_0389_CEERS__source_id_fof_08457.html
CEERS__source_id_fof_05963,618,3.0,6.0477,sources/source_0390_CEERS__source_id_fof_05963.html
CEERS__source_id_fof_08623,603,3.0,6.0552,sources/source_0391_CEERS__source_id_fof_08623.html
CEERS__source_id_fof_08740,81063,3.0,6.0936,sources/source_0392_CEERS__source_id_fof_08740.html
CEERS__source_id_fof_08442,355,3.0,6.0970,sources/source_0393_CEERS__source_id_fof_08442.html
CEERS__source_id_fof_08597,526,3.0,6.1028,sources/source_0394_CEERS__source_id_fof_08597.html
CEERS__source_id_fof_08606,539,3.0,6.1139,sources/source_0395_CEERS__source_id_fof_08606.html
CEERS__source_id_fof_08279,2355,3.0,6.1183,sources/source_0396_CEERS__source_id_fof_08279.html
CEERS__source_id_fof_08635,64,3.0,6.1224,sources/source_0397_CEERS__source_id_fof_08635.html
CEERS__source_id_fof_08732,80954,3.0,6.1620,sources/source_0398_CEERS__source_id_fof_08732.html
CEERS__source_id_fof_08728,80917,3.0,6.1778,sources/source_0399_CEERS__source_id_fof_08728.html
CEERS__source_id_fof_08016,1065,3.0,6.1943,sources/source_0400_CEERS__source_id_fof_08016.html
CEERS__source_id_fof_08646,67,3.0,6.2032,sources/source_0401_CEERS__source_id_fof_08646.html
CEERS__source_id_fof_07856,617,3.0,6.2280,sources/source_0402_CEERS__source_id_fof_07856.html
CEERS__source_id_fof_08741,81068,3.0,6.2702,sources/source_0403_CEERS__source_id_fof_08741.html
CEERS__source_id_fof_08487,390,3.0,6.2814,sources/source_0404_CEERS__source_id_fof_08487.html
CEERS__source_id_fof_08720,80575,3.0,6.5330,sources/source_0405_CEERS__source_id_fof_08720.html
CEERS__source_id_fof_07864,663,3.0,6.5336,sources/source_0406_CEERS__source_id_fof_07864.html
CEERS__source_id_fof_08722,80596,3.0,6.5360,sources/source_0407_CEERS__source_id_fof_08722.html
CEERS__source_id_fof_07863,662,3.0,6.5375,sources/source_0408_CEERS__source_id_fof_07863.html
CEERS__source_id_fof_08726,80710,3.0,6.5488,sources/source_0409_CEERS__source_id_fof_08726.html
CEERS__source_id_fof_07870,781,3.0,6.5851,sources/source_0410_CEERS__source_id_fof_07870.html
CEERS__source_id_fof_08483,386,3.0,6.6148,sources/source_0411_CEERS__source_id_fof_08483.html
CEERS__source_id_fof_08099,1414,3.0,6.6674,sources/source_0412_CEERS__source_id_fof_08099.html
CEERS__source_id_fof_08620,577,3.0,6.6859,sources/source_0413_CEERS__source_id_fof_08620.html
CEERS__source_id_fof_08737,81049,3.0,6.7337,sources/source_0414_CEERS__source_id_fof_08737.html
CEERS__source_id_fof_08729,80925,3.0,6.7554,sources/source_0415_CEERS__source_id_fof_08729.html
CEERS__source_id_fof_08031,1142,3.0,6.9525,sources/source_0416_CEERS__source_id_fof_08031.html
CEERS__source_id_fof_07852,445,3.0,6.9764,sources/source_0417_CEERS__source_id_fof_07852.html
CEERS__source_id_fof_08023,1102,3.0,6.9940,sources/source_0418_CEERS__source_id_fof_08023.html
CEERS__source_id_fof_08705,80244,3.0,7.0004,sources/source_0419_CEERS__source_id_fof_08705.html
CEERS__source_id_fof_08714,80401,3.0,7.0300,sources/source_0420_CEERS__source_id_fof_08714.html
CEERS__source_id_fof_08609,542,3.0,7.0539,sources/source_0421_CEERS__source_id_fof_08609.html
CEERS__source_id_fof_08671,749,3.0,7.0809,sources/source_0422_CEERS__source_id_fof_08671.html
CEERS__source_id_fof_08561,44,3.0,7.1042,sources/source_0423_CEERS__source_id_fof_08561.html
CEERS__source_id_fof_08603,534,3.0,7.1079,sources/source_0424_CEERS__source_id_fof_08603.html
CEERS__source_id_fof_08605,37,3.0,7.1079,sources/source_0425_CEERS__source_id_fof_08605.html
CEERS__source_id_fof_08766,829,3.0,7.1626,sources/source_0426_CEERS__source_id_fof_08766.html
CEERS__source_id_fof_08586,498,3.0,7.1651,sources/source_0427_CEERS__source_id_fof_08586.html
CEERS__source_id_fof_08710,80374,3.0,7.1792,sources/source_0428_CEERS__source_id_fof_08710.html
CEERS__source_id_fof_08553,439,3.0,7.1832,sources/source_0429_CEERS__source_id_fof_08553.html
CEERS__source_id_fof_07899,952,3.0,7.3319,sources/source_0430_CEERS__source_id_fof_07899.html
CEERS__source_id_fof_08715,80432,3.0,7.4747,sources/source_0431_CEERS__source_id_fof_08715.html
CEERS__source_id_fof_08704,80239,3.0,7.4797,sources/source_0432_CEERS__source_id_fof_08704.html
CEERS__source_id_fof_07851,434,3.0,7.4807,sources/source_0433_CEERS__source_id_fof_07851.html
CEERS__source_id_fof_08709,80372,3.0,7.4816,sources/source_0434_CEERS__source_id_fof_08709.html
CEERS__source_id_fof_08716,80445,3.0,7.5138,sources/source_0435_CEERS__source_id_fof_08716.html
CEERS__source_id_fof_07853,449,3.0,7.5496,sources/source_0436_CEERS__source_id_fof_07853.html
CEERS__source_id_fof_08690,80025,3.0,7.6459,sources/source_0437_CEERS__source_id_fof_08690.html
CEERS__source_id_fof_08648,686,3.0,7.7494,sources/source_0438_CEERS__source_id_fof_08648.html
CEERS__source_id_fof_08512,409,3.0,7.7565,sources/source_0439_CEERS__source_id_fof_08512.html
CEERS__source_id_fof_08230,20,3.0,7.7605,sources/source_0440_CEERS__source_id_fof_08230.html
CEERS__source_id_fof_08004,1027,3.0,7.8223,sources/source_0441_CEERS__source_id_fof_08004.html
CEERS__source_id_fof_04739,355,3.0,7.9284,sources/source_0442_CEERS__source_id_fof_04739.html
CEERS__source_id_fof_08497,3,3.0,8.0006,sources/source_0443_CEERS__source_id_fof_08497.html
CEERS__source_id_fof_08699,80083,3.0,8.6387,sources/source_0444_CEERS__source_id_fof_08699.html
CEERS__source_id_fof_07828,28,3.0,8.7619,sources/source_0445_CEERS__source_id_fof_07828.html
CEERS__source_id_fof_04302,2,3.0,8.8000,sources/source_0446_CEERS__source_id_fof_04302.html
CEERS__source_id_fof_04390,9,3.0,9.3848,sources/source_0447_CEERS__source_id_fof_04390.html
CEERS__source_id_fof_08691,80026,3.0,9.5707,sources/source_0448_CEERS__source_id_fof_08691.html
CEERS__source_id_fof_08692,80041,3.0,9.8492,sources/source_0449_CEERS__source_id_fof_08692.html
CEERS__source_id_fof_07860,64,3.0,10.0133,sources/source_0450_CEERS__source_id_fof_07860.html
CEERS__source_id_fof_07865,69,3.0,10.6300,sources/source_0451_CEERS__source_id_fof_07865.html
CEERS__source_id_fof_07804,1,3.0,11.4136,sources/source_0452_CEERS__source_id_fof_07804.html
CEERS__source_id_fof_07770,10,3.0,11.6351,sources/source_0453_CEERS__source_id_fof_07770.html
CEERS__source_id_fof_08319,265,2.0,6.5696,sources/source_0454_CEERS__source_id_fof_08319.html
CEERS__source_id_fof_08580,481,2.0,6.9286,sources/source_0455_CEERS__source_id_fof_08580.html
CEERS__source_id_fof_04317,7,2.0,8.7978,sources/source_0456_CEERS__source_id_fof_04317.html
CEERS__source_id_fof_06079,80073,2.0,10.5927,sources/source_0457_CEERS__source_id_fof_06079.html
CEERS__source_id_fof_08434,3480,0.0,1.9218,sources/source_0458_CEERS__source_id_fof_08434.html
CEERS__source_id_fof_07884,91050,2.0,NaN,sources/source_0459_CEERS__source_id_fof_07884.html
CEERS__source_id_fof_08177,17504,2.0,NaN,sources/source_0460_CEERS__source_id_fof_08177.html
CEERS__source_id_fof_08570,46679,2.0,NaN,sources/source_0461_CEERS__source_id_fof_08570.html
CEERS__source_id_fof_08591,510,2.0,NaN,sources/source_0462_CEERS__source_id_fof_08591.html
CEERS__source_id_fof_08503,40521,2.0,0.3880,sources/source_0463_CEERS__source_id_fof_08503.html
CEERS__source_id_fof_08562,45054,2.0,0.7768,sources/source_0464_CEERS__source_id_fof_08562.html
CEERS__source_id_fof_08746,82055,2.0,0.8854,sources/source_0465_CEERS__source_id_fof_08746.html
CEERS__source_id_fof_07876,813,2.0,1.1072,sources/source_0466_CEERS__source_id_fof_07876.html
CEERS__source_id_fof_08395,30933,2.0,1.1305,sources/source_0467_CEERS__source_id_fof_08395.html
CEERS__source_id_fof_08559,4487,2.0,1.3799,sources/source_0468_CEERS__source_id_fof_08559.html
CEERS__source_id_fof_07832,29928,2.0,1.6807,sources/source_0469_CEERS__source_id_fof_07832.html
CEERS__source_id_fof_07808,20899,2.0,1.7461,sources/source_0470_CEERS__source_id_fof_07808.html
CEERS__source_id_fof_07812,22,2.0,2.3041,sources/source_0471_CEERS__source_id_fof_07812.html
CEERS__source_id_fof_07904,9,2.0,2.3089,sources/source_0472_CEERS__source_id_fof_07904.html
CEERS__source_id_fof_08237,21626,2.0,2.9006,sources/source_0473_CEERS__source_id_fof_08237.html
CEERS__source_id_fof_08803,85636,2.0,3.3440,sources/source_0474_CEERS__source_id_fof_08803.html
CEERS__source_id_fof_08702,80142,2.0,7.3265,sources/source_0475_CEERS__source_id_fof_08702.html
CEERS__source_id_fof_07877,8355,1.0,NaN,sources/source_0476_CEERS__source_id_fof_07877.html
CEERS__source_id_fof_07900,9597,1.0,NaN,sources/source_0477_CEERS__source_id_fof_07900.html
CEERS__source_id_fof_08685,80007,1.0,NaN,sources/source_0478_CEERS__source_id_fof_08685.html
CEERS__source_id_fof_08700,80099,1.0,NaN,sources/source_0479_CEERS__source_id_fof_08700.html
CEERS__source_id_fof_08269,22922,1.0,0.0259,sources/source_0480_CEERS__source_id_fof_08269.html
CEERS__source_id_fof_08793,84821,1.0,0.1599,sources/source_0481_CEERS__source_id_fof_08793.html
CEERS__source_id_fof_07866,7016,1.0,0.1971,sources/source_0482_CEERS__source_id_fof_07866.html
CEERS__source_id_fof_08092,13998,1.0,0.2421,sources/source_0483_CEERS__source_id_fof_08092.html
CEERS__source_id_fof_07799,18698,1.0,0.3344,sources/source_0484_CEERS__source_id_fof_07799.html
CEERS__source_id_fof_08273,2320,1.0,0.4017,sources/source_0485_CEERS__source_id_fof_08273.html
CEERS__source_id_fof_08267,22800,1.0,0.4811,sources/source_0486_CEERS__source_id_fof_08267.html
CEERS__source_id_fof_08696,80074,1.0,0.4879,sources/source_0487_CEERS__source_id_fof_08696.html
CEERS__source_id_fof_05972,2683,1.0,0.6047,sources/source_0488_CEERS__source_id_fof_05972.html
CEERS__source_id_fof_07820,26192,1.0,0.6744,sources/source_0489_CEERS__source_id_fof_07820.html
CEERS__source_id_fof_08409,31796,1.0,0.8840,sources/source_0490_CEERS__source_id_fof_08409.html
CEERS__source_id_fof_07780,1312,1.0,0.9287,sources/source_0491_CEERS__source_id_fof_07780.html
CEERS__source_id_fof_08160,167,1.0,0.9332,sources/source_0492_CEERS__source_id_fof_08160.html
CEERS__source_id_fof_08599,52,1.0,0.9849,sources/source_0493_CEERS__source_id_fof_08599.html
CEERS__source_id_fof_07801,19017,1.0,1.1318,sources/source_0494_CEERS__source_id_fof_07801.html
CEERS__source_id_fof_08725,80708,1.0,1.1436,sources/source_0495_CEERS__source_id_fof_08725.html
CEERS__source_id_fof_07837,31266,1.0,1.2770,sources/source_0496_CEERS__source_id_fof_07837.html
CEERS__source_id_fof_08684,798,1.0,1.4789,sources/source_0497_CEERS__source_id_fof_08684.html
CEERS__source_id_fof_08419,32777,1.0,1.7659,sources/source_0498_CEERS__source_id_fof_08419.html
CEERS__source_id_fof_07802,19757,1.0,1.7718,sources/source_0499_CEERS__source_id_fof_07802.html
CEERS__source_id_fof_07777,1244,1.0,2.1634,sources/source_0500_CEERS__source_id_fof_07777.html
CEERS__source_id_fof_08191,17985,1.0,2.1939,sources/source_0501_CEERS__source_id_fof_08191.html
CEERS__source_id_fof_08693,80042,1.0,2.2855,sources/source_0502_CEERS__source_id_fof_08693.html
CEERS__source_id_fof_07779,1292,1.0,2.4626,sources/source_0503_CEERS__source_id_fof_07779.html
CEERS__source_id_fof_08384,30373,1.0,2.4809,sources/source_0504_CEERS__source_id_fof_08384.html
CEERS__source_id_fof_08226,20614,1.0,2.6622,sources/source_0505_CEERS__source_id_fof_08226.html
CEERS__source_id_fof_07817,25006,1.0,2.6622,sources/source_0506_CEERS__source_id_fof_07817.html
CEERS__source_id_fof_08789,84672,1.0,2.7710,sources/source_0507_CEERS__source_id_fof_08789.html
CEERS__source_id_fof_08613,5546,1.0,2.8464,sources/source_0508_CEERS__source_id_fof_08613.html
CEERS__source_id_fof_07872,7912,1.0,3.3465,sources/source_0509_CEERS__source_id_fof_07872.html
CEERS__source_id_fof_08270,22,1.0,3.3996,sources/source_0510_CEERS__source_id_fof_08270.html
CEERS__source_id_fof_08792,84810,1.0,3.6587,sources/source_0511_CEERS__source_id_fof_08792.html
CEERS__source_id_fof_08047,11792,1.0,3.6817,sources/source_0512_CEERS__source_id_fof_08047.html
CEERS__source_id_fof_07881,8734,1.0,3.8036,sources/source_0513_CEERS__source_id_fof_07881.html
CEERS__source_id_fof_08515,410,1.0,6.0116,sources/source_0514_CEERS__source_id_fof_08515.html
CEERS__source_id_fof_07842,340,1.0,6.4392,sources/source_0515_CEERS__source_id_fof_07842.html
CEERS__source_id_fof_08624,106,1.0,6.5792,sources/source_0516_CEERS__source_id_fof_08624.html
CEERS__source_id_fof_08771,83509,1.0,6.6341,sources/source_0517_CEERS__source_id_fof_08771.html
CEERS__source_id_fof_08167,171,1.0,7.3551,sources/source_0518_CEERS__source_id_fof_08167.html
CEERS__source_id_fof_07760,10016,0.0,0.2354,sources/source_0519_CEERS__source_id_fof_07760.html
CEERS__source_id_fof_08318,26509,0.0,1.5097,sources/source_0520_CEERS__source_id_fof_08318.html
CEERS__source_id_fof_08186,17699,0.0,2.1771,sources/source_0521_CEERS__source_id_fof_08186.html
CEERS__source_id_fof_07886,9285,0.0,2.4797,sources/source_0522_CEERS__source_id_fof_07886.html
CEERS__source_id_fof_07906,112,N/A,NaN,sources/source_0523_CEERS__source_id_fof_07906.html
CEERS__source_id_fof_07909,11,N/A,NaN,sources/source_0524_CEERS__source_id_fof_07909.html
CEERS__source_id_fof_07910,120,N/A,NaN,sources/source_0525_CEERS__source_id_fof_07910.html
CEERS__source_id_fof_07914,133,N/A,NaN,sources/source_0526_CEERS__source_id_fof_07914.html
CEERS__source_id_fof_07916,137,N/A,NaN,sources/source_0527_CEERS__source_id_fof_07916.html
CEERS__source_id_fof_07917,13,N/A,NaN,sources/source_0528_CEERS__source_id_fof_07917.html
CEERS__source_id_fof_07919,153,N/A,NaN,sources/source_0529_CEERS__source_id_fof_07919.html
CEERS__source_id_fof_07921,169,N/A,NaN,sources/source_0530_CEERS__source_id_fof_07921.html
CEERS__source_id_fof_07922,172,N/A,NaN,sources/source_0531_CEERS__source_id_fof_07922.html
CEERS__source_id_fof_07923,175,N/A,NaN,sources/source_0532_CEERS__source_id_fof_07923.html
CEERS__source_id_fof_07924,17,N/A,NaN,sources/source_0533_CEERS__source_id_fof_07924.html
CEERS__source_id_fof_07925,180,N/A,NaN,sources/source_0534_CEERS__source_id_fof_07925.html
CEERS__source_id_fof_07926,190,N/A,NaN,sources/source_0535_CEERS__source_id_fof_07926.html
CEERS__source_id_fof_07927,196,N/A,NaN,sources/source_0536_CEERS__source_id_fof_07927.html
CEERS__source_id_fof_07928,199,N/A,NaN,sources/source_0537_CEERS__source_id_fof_07928.html
